name,location,specialty,facility_type,place_id,latitude,longitude,vicinity,rating,reviews,is_open_now,opening_hours,phone_number,website,emergency_facility,response_probability,distance_from_center,has_phone,has_website,collected_at
Adarsh Hospital. Dr. Suvarna Pote,"Pune, Ambedkar Nagar, Kondhwa, Pune, Maharashtra 411048, India",General,establishment,ChIJs6nX0ffqwjsRlrkTmbcMfvU,18.4543181,73.88818739999999,"Pune, Ambedkar Nagar, Kondhwa, Pune, Maharashtra 411048, India",3.8,85,False,"['Monday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: Closed']",,,True,0.5,2184.5373754586,0,0,2026-04-07T23:21:27.760794
Gayatri Child Clinic,"Shop no.118, 1st floor, VTP The Market Place, above Chitale Bandhu Mithaiwale, Undri, Pune, Maharashtra 411060, India",General Practice,doctor,ChIJISLQGmXrwjsRDXnPKt5Vm6U,18.4494423,73.9125452,"Shop no.118, 1st floor, VTP The Market Place, above Chitale Bandhu Mithaiwale, Undri, Pune, Maharashtra 411060, India",4.9,140,False,"['Monday: 10:30\u202fAM\u2009–\u20092:00\u202fPM, 6:00\u2009–\u20098:00\u202fPM', 'Tuesday: 10:30\u202fAM\u2009–\u20092:00\u202fPM, 6:00\u2009–\u20099:00\u202fPM', 'Wednesday: 10:30\u202fAM\u2009–\u20092:00\u202fPM, 6:00\u2009–\u20098:00\u202fPM', 'Thursday: Closed', 'Friday: Closed', 'Saturday: Closed', 'Sunday: Closed']",079724 76072,https://g.co/kgs/PjZHbt,True,0.65,2239.741939750501,1,1,2026-04-07T23:21:27.864307
Radha Krishna Medico,"Shop Number 13,Gagan Unnati, Katraj - Kondhwa Rd, near Iscorn Temple, गणेश पेठ, Tilekar Nagar, Kondhwa Budruk, Pune, Maharashtra 411048, India",General,establishment,ChIJKZ6nceXqwjsRPuWH4vqWjco,18.450096,73.880922,"Shop Number 13,Gagan Unnati, Katraj - Kondhwa Rd, near Iscorn Temple, गणेश पेठ, Tilekar Nagar, Kondhwa Budruk, Pune, Maharashtra 411048, India",5.0,2,False,"['Monday: 9:30\u202fAM\u2009–\u200910:30\u202fPM', 'Tuesday: 9:30\u202fAM\u2009–\u200910:30\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u200910:30\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u200910:30\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u200910:30\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u200910:30\u202fPM', 'Sunday: 9:30\u202fAM\u2009–\u200910:30\u202fPM']",099608 56292,,True,0.6,2243.9312400968665,1,0,2026-04-07T23:21:27.987043
Pride Multispeciality Hospital,"3rd floor, S. No. 65A, FV4H+6FX Shankeshwaram Plaza, 2/7, Kondhwa Budruk, Pune, Maharashtra 411048, India",General,establishment,ChIJgwnlJVTrwjsRQaEE91k5ubc,18.4557002,73.8787205,"3rd floor, S. No. 65A, FV4H+6FX Shankeshwaram Plaza, 2/7, Kondhwa Budruk, Pune, Maharashtra 411048, India",4.5,59,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",098901 88783,http://www.pridehospitalpune.com/,True,0.85,2854.7389044503934,1,1,2026-04-07T23:21:28.102112
Miracle Multispeciality Hospital,"Katraj - Kondhwa Rd, behind SBI, Gokul Nagar, Anand Tirth Nagar, Kondhwa Budruk, Pune, Maharashtra 411048, India",General,establishment,ChIJnZwd0DfrwjsRq8uS5iY40Fw,18.4508001,73.8754297,"Katraj - Kondhwa Rd, behind SBI, Gokul Nagar, Anand Tirth Nagar, Kondhwa Budruk, Pune, Maharashtra 411048, India",4.5,61,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",077900 90021,http://www.miraclehospitalpune.com/,True,0.85,2741.3742920278864,1,1,2026-04-07T23:21:28.224971
628 Namo Multispeciality Hospital | Gastroenterology | Orthopedic Surgery | Diabetes | Kondhwa,"S. No 65, 2nd Floor, Front of Durgamata Temple, Chordia Corner, Arihant Society, Kondhwa, Pune, Maharashtra 411048, India",General Practice,doctor,ChIJc1TXlunrwjsR-WDSqIRDpSs,18.4568624,73.87847579999999,"S. No 65, 2nd Floor, Front of Durgamata Temple, Chordia Corner, Arihant Society, Kondhwa, Pune, Maharashtra 411048, India",4.8,454,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",070668 55855,https://www.namohospitalpune.com/,True,0.85,2969.9948156335686,1,1,2026-04-07T23:21:28.341170
Care Hospital Multispeciality,"No. 17/2/1, A/5, Opp Sai Service, Parge (NIBM Link Rd Tilekar Nagar Road Tilekar Nagar, Kondhwa Budruk, Pune, Maharashtra 411048, India",General Practice,doctor,ChIJ6RkHaw3rwjsRpee7-yUMpS0,18.4647175,73.8907322,"No. 17/2/1, A/5, Opp Sai Service, Parge (NIBM Link Rd Tilekar Nagar Road Tilekar Nagar, Kondhwa Budruk, Pune, Maharashtra 411048, India",4.6,242,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",084460 83755,,True,0.7999999999999999,3216.527748253424,1,0,2026-04-07T23:21:28.461825
Apex Multispeciality | Maternity | Gynaecology | Hospital,"Madina hotel Lane, Kausar Baugh, Kondhwa, Pune, Maharashtra 411048, India",General Practice,doctor,ChIJIxWbGZPrwjsRBhppt0sJVlw,18.4722908,73.8921186,"Madina hotel Lane, Kausar Baugh, Kondhwa, Pune, Maharashtra 411048, India",4.7,266,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",075591 93659,https://apex-hospital.in/,True,0.85,4027.5795317833536,1,1,2026-04-07T23:21:28.567131
JAIHIND MULTISPECIALITY HOSPITAL,"1st Floor, Purvant Heights, Chowk, near Undri, Undri, Pune, Maharashtra 411060, India",General,establishment,ChIJm45yONzrwjsRTYhvwjhKoG4,18.4507158,73.9169423,"1st Floor, Purvant Heights, Chowk, near Undri, Undri, Pune, Maharashtra 411060, India",4.8,50,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",093710 06659,,True,0.7999999999999999,2690.7612900198033,1,0,2026-04-07T23:21:28.670562
Getwell Multispeciality Hospital,"S.No. 2/3, opposite Euro School, Bellagio, Undri, Pune, Maharashtra 411060, India",General Practice,doctor,ChIJf3bh0bPrwjsRb6D2OfJ_GM8,18.4547071,73.9163495,"S.No. 2/3, opposite Euro School, Bellagio, Undri, Pune, Maharashtra 411060, India",4.4,154,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",077600 60017,https://getwellhospitalundri.com/,True,0.85,2931.4005691632356,1,1,2026-04-07T23:21:28.784587
