name,location,specialty,facility_type,place_id,latitude,longitude,vicinity,rating,reviews,is_open_now,opening_hours,phone_number,website,emergency_facility,response_probability,distance_from_center,has_phone,has_website,collected_at
Jupiter Hospital,"Jupiter Hospital, Prathamesh Park, Baner, Pune, Maharashtra 411045, India",General,establishment,ChIJq6qqWtK-wjsRB3ipyUrXw0s,18.5653865,73.78605050000002,"Jupiter Hospital, Prathamesh Park, Baner, Pune, Maharashtra 411045, India",4.7,13805,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",020 6637 5555,https://www.jupiterhospital.com/pune,True,0.85,8909.060213721563,1,1,2026-04-08T12:47:58.923936
Motherhood Hospital Kharadi - Best Maternity Hospital In Pune,"S. No 13/1A/1E/2, Mundhwa - Kharadi Rd, Thite Nagar, Kharadi, Pune, Maharashtra 411014, India",General Practice,doctor,ChIJ2R7kqiHDwjsRJcAOutNyXZg,18.5466475,73.9366756,"S. No 13/1A/1E/2, Mundhwa - Kharadi Rd, Thite Nagar, Kharadi, Pune, Maharashtra 411014, India",4.6,5844,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",084948 00096,https://www.motherhoodindia.com/locations/pune/?utm_source=gmb_mhi&utm_medium=localseo&utm_campaign=pune,True,0.85,9081.236694650885,1,1,2026-04-08T12:48:17.438802
Safe Hands Children's Hospital,"First Floor, Sr no. 35, old Life Springs hospital, opposite The Orbis school, Ward No 2, Jayganga Nagar, Keshav Nagar, Mundhwa, Pune, Maharashtra 411036, India",General,establishment,ChIJBWvpTvvDwjsRaeZVwv_Ehhs,18.5293669,73.9456494,"First Floor, Sr no. 35, old Life Springs hospital, opposite The Orbis school, Ward No 2, Jayganga Nagar, Keshav Nagar, Mundhwa, Pune, Maharashtra 411036, India",4.8,91,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",092268 88123,,True,0.7999999999999999,9577.103740608844,1,0,2026-04-08T12:48:15.613509
Rising Medicare Hospital and IVF Center,"Survey No 4, 1, Mundhwa - Kharadi Rd, behind Radisson Blu, पांढरी नगर, खराडी, पुणे, महाराष्ट्र 411014, India",General Practice,beauty_salon,ChIJTRpALtnDwjsROT2rFt3NwSQ,18.5537831,73.9392321,"Survey No 4, 1, Mundhwa - Kharadi Rd, behind Radisson Blu, पांढरी नगर, खराडी, पुणे, महाराष्ट्र 411014, India",4.6,2239,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",091195 87272,https://therisingmedicare.com/,True,0.85,9620.782306915375,1,1,2026-04-08T12:48:10.909320
Umarji Mother and Child Care Hospital,"Umarji Mother and Child Care hospital, Survey no. 13/1, comfort zone, beside Aditya Shagun, Balewadi Phata, Baner, Pune, Maharashtra 411045, India",General Practice,doctor,ChIJ6RkI7DK5wjsR5_U7MDh5N_I,18.5716519,73.7807983,"Umarji Mother and Child Care hospital, Survey no. 13/1, comfort zone, beside Aditya Shagun, Balewadi Phata, Baner, Pune, Maharashtra 411045, India",4.7,3858,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",020 3503 2200,https://umarjihealthcare.com/,True,0.85,9764.7919541897,1,1,2026-04-08T12:48:14.338195
Baner Multi-Speciality Hospital - Physician | orthopaedic | urologist | Pediatrician | Emergency Surgery,"PMC garden, Pancard Club Rd, Baner Gaon, Baner, Pune, Maharashtra 411069, India",General Practice,doctor,ChIJNfO_5fS_wjsRxc3IgTDFLpo,18.5577638,73.7716142,"PMC garden, Pancard Club Rd, Baner Gaon, Baner, Pune, Maharashtra 411069, India",4.7,121,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",080070 09638,https://banerhospital.com/,True,0.85,9799.601531491742,1,1,2026-04-08T12:48:11.965205
Synergy Heart & Multispeciality Hospital,"Avenue Plaza, Ground Floor, 3rd & 4th Floor Rahatani Rd Above Reliance Digital, Prassana Colony Near Kokane Chowk, Pimple Saudagar Pimpri-Chinchwad, Prassana Colony, Pimple Saudagar, Pune, Pimpri-Chinchwad, Maharashtra 411017, India",General Practice,doctor,ChIJm-Ldcdu5wjsR5iulSY7o-tA,18.5997673,73.79246669999999,"Avenue Plaza, Ground Floor, 3rd & 4th Floor Rahatani Rd Above Reliance Digital, Prassana Colony Near Kokane Chowk, Pimple Saudagar Pimpri-Chinchwad, Prassana Colony, Pimple Saudagar, Pune, Pimpri-Chinchwad, Maharashtra 411017, India",4.5,729,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",090283 77909,https://synergyheartinstitute.in/,True,0.85,11111.78806971014,1,1,2026-04-08T12:48:19.814344
Little Miracle Children Hospital,"3rd floor, WESTWOOD ESTATES, Kaspate Wasti, Wakad, pune, Pimpri-Chinchwad, Maharashtra 411057, India",General,establishment,ChIJrwPF2yq5wjsReKnhx6VzKxs,18.5946934,73.7689491,"3rd floor, WESTWOOD ESTATES, Kaspate Wasti, Wakad, pune, Pimpri-Chinchwad, Maharashtra 411057, India",4.5,163,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",074200 89372,,True,0.7999999999999999,12360.059435550815,1,0,2026-04-08T12:48:15.363623
JIJAMATA HOSPITAL PIMPRI,"40/662, Shastri Nagar, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411017, India",General,establishment,ChIJfTkVyPu5wjsR1dDjAJMkzTM,18.618964,73.8006934,"40/662, Shastri Nagar, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411017, India",4.1,146,True,"['Monday: 9:00\u202fPM\u2009–\u200912:00\u202fAM', 'Tuesday: 12:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 12:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 9:00\u202fAM\u2009–\u200910:30\u202fPM', 'Sunday: Closed']",,,True,0.7,12463.017472331814,0,0,2026-04-08T12:48:07.816662
Phoenix Hospital,"Aundh Dange Chowk Road, opp. Rythem society, near Kalewadi Phata, Pawar Nagar, Samarth Colony, Thergaon, Pune, Pimpri-Chinchwad, Maharashtra 411033, India",General Practice,doctor,ChIJpW_v-hG5wjsRJxCW8mqbacs,18.6046541,73.7761357,"Aundh Dange Chowk Road, opp. Rythem society, near Kalewadi Phata, Pawar Nagar, Samarth Colony, Thergaon, Pune, Pimpri-Chinchwad, Maharashtra 411033, India",4.6,2096,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",075175 10033,https://phoenix-hospital.in/,True,0.85,12619.69466913489,1,1,2026-04-08T12:48:03.507445
Lifepoint Multispecialty Hospital,"No. 145, Sr, Multispecialist hospital in, PCMC, 1, Mumbai Pune Bypass Rd Flyover, near Sayaji Hotel, Shankar Kalat Nagar, Wakad, Pimpri-Chinchwad, Pune, Maharashtra 411057, India",General Practice,doctor,ChIJQwmASGS5wjsRWeQltTsLkTg,18.5977296,73.7556352,"No. 145, Sr, Multispecialist hospital in, PCMC, 1, Mumbai Pune Bypass Rd Flyover, near Sayaji Hotel, Shankar Kalat Nagar, Wakad, Pimpri-Chinchwad, Pune, Maharashtra 411057, India",4.1,1671,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",077220 59515,https://www.lifepointhospital.in/,True,0.85,13640.773612550105,1,1,2026-04-08T12:48:09.250539
Talera Hospital,"Talera Hospital Road Tanaji Nagar, Chinchwad Gaon, Chinchwad, Pimpri-Chinchwad, Maharashtra 411033, India",General,establishment,ChIJLbncyle4wjsR6za3LBuLuO8,18.6265515,73.7843316,"Talera Hospital Road Tanaji Nagar, Chinchwad Gaon, Chinchwad, Pimpri-Chinchwad, Maharashtra 411033, India",3.7,171,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",020 2761 3831,,True,0.7999999999999999,14055.029110567915,1,0,2026-04-08T12:48:08.869677
